ID_Variante,Farmaco,Recomendacion
rs4149056,Simvastatina,"[RIESGO] Metabolizador lento SLCO1B1. Alto riesgo de miopatia severa. Reducir dosis a max. 20mg o cambiar a Pravastatina."
rs4149056,Atorvastatina,"[ATENCION] Polimorfismo SLCO1B1 detectado. Monitorizar CPK y sintomas musculares."
rs4244285,Clopidogrel,"[RIESGO] Metabolizador pobre CYP2C19*2. Efecto antiagregante muy reducido. Valorar Prasugrel o Ticagrelor."
rs4986893,Clopidogrel,"[RIESGO] Metabolizador pobre CYP2C19*3. Perdida de funcion casi completa. Alternativa obligatoria."
rs12248560,Clopidogrel,"[ATENCION] Metabolizador ultrarrapido CYP2C19*17. Mayor riesgo de sangrado. Vigilar."
rs1799853,Warfarina,"[RIESGO] Variante CYP2C9*2. Metabolismo reducido. Reducir dosis inicial un 20-30% y monitorizar INR frecuentemente."
rs1057910,Warfarina,"[RIESGO] Variante CYP2C9*3. Metabolismo muy reducido. Reducir dosis inicial un 50%. Alto riesgo de sangrado."
rs9923231,Warfarina,"[ATENCION] Variante VKORC1. Resistencia al farmaco o hipersensibilidad segun alelo. Ajustar dosis por algoritmo CPIC."
rs1045642,Digoxina,"[ATENCION] Variante ABCB1 (MDR1). Posible acumulacion del farmaco. Monitorizar niveles plasmaticos y toxicidad."
rs1800460,Azatioprina,"[PELIGRO] Variante TPMT*3B. Metabolizador pobre. CONTRAINDICADO. Riesgo de mielosupresion fatal."
rs1142345,Azatioprina,"[PELIGRO] Variante TPMT*3C. Metabolizador pobre. CONTRAINDICADO. Riesgo de toxicidad hematologica severa."
rs3918290,5-Fluorouracilo,"[PELIGRO] Variante DPYD*2A. Deficiencia de DPD. Alto riesgo de toxicidad fatal. Contraindicado."
rs67376798,5-Fluorouracilo,"[RIESGO] Variante DPYD. Actividad enzimatica reducida. Reducir dosis un 50%."
rs1801265,Codeina,"[RIESGO] Metabolizador pobre CYP2D6. Efecto analgesico insuficiente. Considerar alternativa."
rs1080985,Codeina,"[RIESGO] Metabolizador ultrarrapido CYP2D6. Conversion excesiva a morfina. Riesgo de parada respiratoria."
rs1080985,Tramadol,"[ATENCION] CYP2D6 ultrarrapido. Mayor produccion de metabolito activo. Vigilar toxicidad."
rs1805007,Ibuprofeno,"[ATENCION] Variante MC1R. Mayor sensibilidad al dolor inflamatorio. Monitorizar respuesta."
rs1799853,Fenitoina,"[RIESGO] CYP2C9*2. Metabolismo reducido. Riesgo de toxicidad neurologica (nistagmus, ataxia). Reducir dosis 25%."
rs1057910,Fenitoina,"[RIESGO] CYP2C9*3. Metabolismo muy reducido. Reducir dosis inicial un 50%."
rs3745274,Tamoxifeno,"[RIESGO] Variante CYP2B6. Reduccion de metabolito activo. Valorar alternativa (Letrozol, Anastrozol)."
rs1800497,Haloperidol,"[ATENCION] Variante DRD2. Mayor riesgo de discinesia tardia. Iniciar con dosis bajas."
rs2242480,Tacrolimus,"[RIESGO] CYP3A5*1. Metabolizador extenso. Requiere dosis significativamente mas altas."
rs776746,Tacrolimus,"[ATENCION] CYP3A5*3 no expressor. Menor metabolismo. Iniciar con dosis estandar."
rs1800629,Metotrexato,"[ATENCION] Variante TNF-alfa. Asociada a menor respuesta en artritis reumatoide."
rs1800795,Tocilizumab,"[ATENCION] Variante IL-6. Predictor de respuesta al farmaco."
rs4149056,Fluvastatina,"[ATENCION] SLCO1B1 variante. Potencial acumulacion. Usar dosis bajas."
rs1801280,Isoniazida,"[RIESGO] NAT2 acetilador lento. Mayor riesgo de hepatotoxicidad. Suplementar con B6."
rs2395029,Abacavir,"[PELIGRO] Variante HLA-B*5701. CONTRAINDICADO. Riesgo de hipersensibilidad mortal."
rs3132291,Carbamazepina,"[PELIGRO] Variante HLA-B*1502. Riesgo de Sindrome de Stevens-Johnson grave."
rs1800440,Omeprazol,"[ATENCION] Metabolizador rapido CYP2C19. Menor eficacia en proteccion gastrica."
rs1870377,Metformina,"[ATENCION] Variante en transportador. Respuesta variable en control de glucemia."
rs1799732,Diazepam,"[RIESGO] Metabolizador lento. Efecto sedante muy prolongado. Riesgo de caidas en ancianos." 
